"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-01",,"76","24"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-02",,"41","19"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-03",,"56","19"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-04",,"66","32"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-05",,"62","32"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-06",,"44","27"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-07",,"49","23"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-08",,"64","46"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-09",,"63","43"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-10",,"56","29"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-11",,"60","24"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-12",,"64","33"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-13",,"76","30"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-14",,"78","34"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-15",,"52","32"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-16",,"55","28"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-17",,"66","25"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-18",,"76","38"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-19",,"62","36"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-20",,"39","26"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-21",,"45","19"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-22",,"52","20"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-23",,"67","24"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-24",,"57","35"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-25",,"59","39"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-26",,"51","32"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-27",,"52","29"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-28",,"58","30"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-29",,"69","24"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-30",,"73","30"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-01-31",,"67","47"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-01",,"72","50"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-02",,"57","33"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-03",,"33","20"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-04",,"36","20"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-05",,"48","17"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-06",,"57","28"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-07",,"60","30"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-08",,"68","26"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-09",,"70","28"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-10",,"72","30"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-11",,"78","40"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-12",,"58","28"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-13",,"66","23"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-14",,"72","31"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-15",,"73","43"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-16",,"68","61"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-17",,"68","32"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-18",,"55","25"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-19",,"66","25"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-20",,"67","38"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-21",,"84","58"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-22",,"73","36"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-23",,"35","24"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-24",,"30","23"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-25",,"38","24"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-26",,"41","35"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-27",,"58","28"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-02-28",,"67","22"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-03-01",,"75","29"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-03-02",,"79","38"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-03-03",,"80","38"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-03-04",,"74","47"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-03-05",,"79","65"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-03-06",,"80","41"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-03-07",,"52","38"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-03-08",,"49","30"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-03-09",,"60","24"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-03-10",,"68","35"
"USW00053907","ARLINGTON MUNICIPAL AIRPORT, TX US","32.65832","-97.09509","179.7","2022-03-11",,"44","30"
